node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
action::100::15 annex 1: results framework,Action,15 Annex 1: Results Framework and Monitoring China: Jiangxi Wuxikou Integrated Flood Management Project Results Framework Project Development Objective (PDO): The project development objective is to r,Mitigation,0.55,0.25,0.33,P_011
action::101::pdo level results indicators c,Action,PDO Level Results Indicators Core Unit of Measure Baseline (2012) Cumulati,Mitigation,0.55,0.25,0.33,P_011
"action::102::non-structural measures, and c",Action,"non-structural measures, and contribute to establishment of an integrated flood risk management system for the City.",Mitigation,0.55,0.25,0.33,P_011
action::103::pdo level results indicators c,Action,PDO Level Results Indicators Core Unit of Measure Baseline (2012) Cumulative Target Values1 Frequency Data Source Data Collection Description 2014 2015 2016 2017 2018 2019 PO-1: Percentage of urban po,Mitigation,0.55,0.25,0.33,P_011
action::104::of people participating in the,Action,"of people participating in the flood-risk management and answered the flood-risk awareness questionnaire (disaggregated by Gender) 10,000 (male/femal e) 5/5 10/10 12/12 16/16 18/18 20/20 22/22 Annuall",Mitigation,0.55,0.25,0.33,P_011
action::105::nt consultant component iii: i,Action,nt consultant Component III: Implementation of Resettlement Action Plan (NBF) IO-8: No.,Mitigation,0.55,0.25,0.33,P_011
action::106::the project seeks to reduce fl,Action,The project seeks to reduce flood risk in the central urban area of Jingdezhen City through implementation of priority structural and non-structural measures.,Mitigation,0.55,0.25,0.33,P_011
action::107::it will help increase the floo,Action,"It will help increase the flood protection level from 1-in-20-year floods to 1-in-50-year floods, and contribute to the establishment of an integrated flood risk management for the city.",Mitigation,0.55,0.25,0.33,P_011
"action::108::wuxikou dam, the key element o",Action,"Wuxikou Dam, the key element of the project, will be located on the main stem of the Changjiang River and will be a part of the flood protection system for Jingdezhen City which is situated about 40 k",Mitigation,0.55,0.25,0.33,P_011
action::109::the secondary purposes of the,Action,"The secondary purposes of the dam will be hydropower (32 MW, 81 GWh/year) and domestic water supply.",Mitigation,0.55,0.25,0.33,P_011
action::10::o&m plan for flood risk manage,Action,"O&M Plan for Flood Risk Management System December 31, 2017 Jingdezhen City to prepare and furnish to the Bank for review and comment, at least six months prior to the completion of the system, a prop",Mitigation,0.55,0.25,0.33,P_011
action::110::the proposed project has four,Action,"The proposed Project has four project components as described below: Component 1: Construction of Wuxikou Flood Control Scheme (US$114.86 million), which consists of the following three subcomponents:",Mitigation,0.55,0.25,0.33,P_011
action::111::the dam structure will create,Action,"The dam structure will create a reservoir of 474 MCM total storage capacity, of which 296 MCM will be for flood regulation.",Mitigation,0.55,0.25,0.33,P_011
action::112::(c) to support the implementat,Action,(c) To support the implementation of the environmental and social management plan (ESMP): this is for implementing the environmental mitigation measures resulted from the environmental assessment for ,Mitigation,0.55,0.25,0.33,P_011
action::113::the sub-component will develop,Action,"The sub-component will develop a Master Plan (US$1 million) based on the Integrated Flood Risk Management Strategy of Jingdezhen City, draw upon international good practice, introduce risk-based flood",Mitigation,0.55,0.25,0.33,P_011
action::114::the master plan will identify,Action,"The master plan will identify problems, opportunities and constraints of flood risk management in the basin context; set goals and objectives; establish policies and priorities that govern overall eff",Mitigation,0.55,0.25,0.33,P_011
action::115::the sub-component will also su,Action,The sub-component will also support the implementation of the priority action plan to be launched after the Mid Term Review.,Mitigation,0.55,0.25,0.33,P_011
action::116::the sub-component will develop,Action,"The sub-component will develop a real-time flood forecasting and early warning system (modeling system) coupled with database, GIS and network technologies.",Mitigation,0.55,0.25,0.33,P_011
"action::117::based on this, an integrated f",Action,"Based on this, an integrated flood management decision support system will be developed to enhance the flood risk management capacity of government agencies.",Mitigation,0.55,0.25,0.33,P_011
"action::118::in addition, optimal dispatchi",Action,"In addition, optimal dispatching rules for Wuxikou Water Control Scheme will be prepared to achieve maximum flood control and additional benefits,",Mitigation,0.55,0.25,0.33,P_011
